id,title,intro,poster,pubdate,url,rating,genres,star,comment,tags,star_time,card
34875034,金庸作品集【典藏本】,"1)大陆地区首套《金庸作品集》布面精装典藏本正式发行。
2) 文字内容以香港明河社第二次修订版(旧版)为底本，参校多种版本，订正讹误缺漏，精益求精，力求做到最大程度还原金庸小说原貌。
3) 精选500多幅彩色插图，有历代名画、人物画像、风景名胜、文物遗址、民俗风情等，与小说情节交相辉映，极大丰富了小说的文化内涵。
4)一版一印，首版限量发行，配编号收藏证书，金迷绝对不可错过的收藏佳品。",https://dou.img.lithub.cc/book/34875034.jpg,2019-10,https://book.douban.com/subject/34875034/,9.9,,,,,2024-05-04 21:54:08,2019 / 广州出版社
5363767,三体Ⅲ,"与三体文明的战争使人类第一次看到了宇宙黑暗的真相，地球文明像一个恐惧的孩子，熄灭了寻友的篝火，在暗夜中发抖。自以为历经沧桑，其实刚刚蹒跚学步；自以为悟出了生存竞争的秘密，其实还远没有竞争的资格。
使两个文明命悬一线的黑暗森林打击，不过是宇宙战场上一个微不足道的插曲。真正的星际战争没人见过，也不可能见到，因为战争的方式和武器已经远远超出人类的想象，目睹战场之日，即是灭亡之时。
宇宙的田园时代已经远去，昙花一现的终极之美最终变成任何智慧体都无法做出的梦，变成游吟诗人缥缈的残歌；宇宙的物竞天择已到了最惨烈的时刻，在亿万光年暗无天日的战场上，深渊最底层的毁灭力量被唤醒，太空变成了死神广阔的披风。
太阳系中的人们永远不会知道这一切，最后直面真相的，只有两双眼睛。",https://dou.img.lithub.cc/book/5363767.jpg,2010-11,https://book.douban.com/subject/5363767/,9.2,,,,,2023-04-06 10:09:23,刘慈欣 / 2010 / 重庆出版社
3066477,三体Ⅱ,"三体人在利用魔法般的科技锁死了地球人的科学之后，庞大的宇宙舰队杀气腾腾地直扑太阳系，意欲清除地球文明。
面对前所未有的危局，经历过无数磨难的地球人组建起同样庞大的太空舰队，同时，利用三体人思维透明的致命缺陷，制订了神秘莫测的“面壁计划”，精选出四位“面壁者”。秘密展开对三体人的反击。
三体人自身虽然无法识破人类的诡谲计谋，却依靠由地球人中的背叛者挑选出的“破壁人”，与“面壁者”展开智慧博弈……
“面壁计划”究竟能否成功？地球人究竟能否在这场你死我活的文明生存竞争中战而胜之？神秘的
“黑暗森林”究竟意味着什么？",https://dou.img.lithub.cc/book/3066477.jpg,2008-5,https://book.douban.com/subject/3066477/,9.3,,,,,2023-04-06 10:09:08,刘慈欣 / 2008 / 重庆出版社
2567698,三体,"文化大革命如火如荼进行的同时。军方探寻外星文明的绝秘计划“红岸工程”取得了突破性进展。但在按下发射键的那一刻，历经劫难的叶文洁没有意识到，她彻底改变了人类的命运。地球文明向宇宙发出的第一声啼鸣，以太阳为中心，以光速向宇宙深处飞驰……
四光年外，“三体文明”正苦苦挣扎——三颗无规则运行的太阳主导下的百余次毁灭与重生逼迫他们逃离母星。而恰在此时。他们接收到了地球发来的信息。在运用超技术锁死地球人的基础科学之后。三体人庞大的宇宙舰队开始向地球进发……
人类的末日悄然来临。",https://dou.img.lithub.cc/book/2567698.jpg,2008-1,https://book.douban.com/subject/2567698/,8.9,,,,,2023-04-06 10:08:56,刘慈欣 / 2008 / 重庆出版社
34907838,血与火,"《冰与火之歌》系列小说开篇的三百年前，
坦格利安家族作为唯一幸存于瓦雷利亚“末日浩劫”的龙王家族，
定居龙石岛，并发动征服战争，成功统一了维斯特洛大陆。
全书以铁王座缔造者、传奇的“征服者”伊耿为开端，
讲述了坦格利安王朝历代圣君与昏君不同时期的精彩典故，
及永恒不变的权力斗争。
读者曾在《冰与火之歌》中瞥见这些故事的一鳞半爪，现在，它们的全貌首次得以展现。
本书由乔治·R.R.马丁托名学城学士“葛尔丹”撰写，
配以著名幻想艺术家道格•惠特利创作的八十余幅精美插图，
一经出版便长时间占据纽约时报畅销书榜前列，
亦将成为HBO大型电视剧集《龙王家族》的原著蓝本。",https://dou.img.lithub.cc/book/34907838.jpg,2020-2,https://book.douban.com/subject/34907838/,8.9,,,,,2022-09-18 18:17:58,[美] 乔治·R·R·马丁 / 2020 / 重庆出版社
1070851,倚天屠龙记,《倚天屠龙记》，金庸武侠小说，著于1961年，是“射雕三部曲”系列第三部，现收录在《金庸作品集》中。该书以元末群雄纷起、江湖动荡为广阔背景，叙述武当弟子张无忌的江湖生涯，表现众武林豪杰质朴自然，形态各异的精神风貌，展现其不可替代的人格力量。,https://dou.img.lithub.cc/book/1070851.jpg,1999-04,https://book.douban.com/subject/1070851/,8.7,,5,,,2020-08-27 13:39:57,金庸 / 1999 / 生活·读书·新知三联书店